tanggal,rr
12/27/2017,37.5
12/28/2017,21.2
12/29/2017,
12/30/2017,
12/31/2017,3.8
1/1/2018,
1/2/2018,8.6
1/3/2018,2.9
1/4/2018,100.1
1/5/2018,4.6
1/6/2018,1.2
1/7/2018,3.9
1/8/2018,3.2
1/9/2018,51.3
1/10/2018,19.7
1/11/2018,3.5
1/12/2018,29.5
1/13/2018,
1/14/2018,32.8
1/15/2018,0.9
1/16/2018,
1/17/2018,64.5
1/18/2018,1
1/19/2018,50.9
1/20/2018,5.7
1/21/2018,69.4
1/22/2018,21
1/23/2018,120.3
1/24/2018,
1/25/2018,37.6
1/26/2018,1.7
1/27/2018,13.8
1/28/2018,14.5
1/29/2018,37.4
1/30/2018,4
1/31/2018,1.3
2/1/2018,39.6
2/2/2018,
2/3/2018,24.6
2/4/2018,35.9
2/5/2018,9.6
2/6/2018,5
2/7/2018,
2/8/2018,16
2/9/2018,6.2
2/10/2018,
2/11/2018,
2/12/2018,111.8
2/13/2018,26.5
2/14/2018,5.5
2/15/2018,8.2
2/16/2018,29.8
2/17/2018,3
2/18/2018,
2/19/2018,0
2/20/2018,0
2/21/2018,0
2/22/2018,2.1
2/23/2018,35.3
2/24/2018,4.2
2/25/2018,1.7
2/26/2018,0
2/27/2018,5.9
2/28/2018,0
3/1/2018,0
3/2/2018,2.4
3/3/2018,0
3/4/2018,0
3/5/2018,
3/6/2018,28.1
3/7/2018,0
3/8/2018,86.6
3/9/2018,25
3/10/2018,0
3/11/2018,15.6
3/12/2018,32.8
3/13/2018,1
3/14/2018,0.9
3/15/2018,0
3/16/2018,0
3/17/2018,0
3/18/2018,14.1
3/19/2018,8.8
3/20/2018,0
3/21/2018,0
3/22/2018,1.4
3/23/2018,0
3/24/2018,4.7
3/25/2018,18.6
3/26/2018,10.8
3/27/2018,13.2
3/28/2018,0.3
3/29/2018,2.2
3/30/2018,0
3/31/2018,0
4/1/2018,0.5
4/2/2018,0
4/3/2018,51.4
4/4/2018,0
4/5/2018,0
4/6/2018,8
4/7/2018,38.1
4/8/2018,5.1
4/9/2018,0
4/10/2018,18.7
4/11/2018,18.4
4/12/2018,0
4/13/2018,0
4/14/2018,0
4/15/2018,0
4/16/2018,4.7
4/17/2018,
4/18/2018,23.6
4/19/2018,35.2
4/20/2018,34.6
4/21/2018,51
4/22/2018,15.6
4/23/2018,0
4/24/2018,1
4/25/2018,0
4/26/2018,0
4/27/2018,0
4/28/2018,0
4/29/2018,0
4/30/2018,0
5/1/2018,0
5/2/2018,0
5/3/2018,0
5/4/2018,0
5/5/2018,0
5/6/2018,0
5/7/2018,0
5/8/2018,0
5/9/2018,0
5/10/2018,0
5/11/2018,0
5/12/2018,0
5/13/2018,0
5/14/2018,0
5/15/2018,0
5/16/2018,4.2
5/17/2018,0
5/18/2018,3.4
5/19/2018,0
5/20/2018,0
5/21/2018,2.2
5/22/2018,4.4
5/23/2018,0
5/24/2018,0
5/25/2018,10
5/26/2018,4.8
5/27/2018,0
5/28/2018,0
5/29/2018,0
5/30/2018,0
5/31/2018,0
6/1/2018,0
6/2/2018,0
6/3/2018,0
6/4/2018,0
6/5/2018,0
6/6/2018,0
6/7/2018,0
6/8/2018,0
6/9/2018,0
6/10/2018,0
6/11/2018,0
6/12/2018,0
6/13/2018,2.4
6/14/2018,0
6/15/2018,0
6/16/2018,0
6/17/2018,0
6/18/2018,0
6/19/2018,0
6/20/2018,0
6/21/2018,18
6/22/2018,12.8
6/23/2018,0
6/24/2018,0
6/25/2018,1.3
6/26/2018,9.4
6/27/2018,0
6/28/2018,0
6/29/2018,0
6/30/2018,
7/1/2018,0
7/2/2018,0
7/3/2018,0
7/4/2018,0
7/5/2018,0
7/6/2018,0
7/7/2018,0
7/8/2018,0
7/9/2018,0
7/10/2018,0
7/11/2018,0
7/12/2018,0
7/13/2018,0
7/14/2018,0
7/15/2018,0
7/16/2018,0
7/17/2018,0
7/18/2018,0
7/19/2018,0
7/20/2018,0
7/21/2018,0
7/22/2018,0
7/23/2018,0
7/24/2018,0
7/25/2018,0
7/26/2018,0
7/27/2018,0
7/28/2018,0
7/29/2018,0
7/30/2018,0
7/31/2018,0
8/1/2018,0
8/2/2018,0
8/3/2018,1
8/4/2018,0
8/5/2018,0
8/6/2018,0
8/7/2018,0
8/8/2018,0
8/9/2018,0
8/10/2018,0
8/11/2018,0
8/12/2018,0
8/13/2018,0
8/14/2018,0
8/15/2018,0
8/16/2018,0
8/17/2018,0
8/18/2018,0
8/19/2018,0
8/20/2018,0
8/21/2018,0
8/22/2018,0
8/23/2018,0
8/24/2018,0
8/25/2018,0
8/26/2018,0
8/27/2018,0
8/28/2018,0
8/29/2018,0
